City Name,Disaster type,Year,Total No. of Incident reported,Total No. of Affected Family -Male Headed,Total No. of Affected Family -Female Headed,Total,Total no. of people killed,No.of relief fund for Male headed,No.of relief fund for Female headed,Total
Kohima,Cloud Burst,2018 - 2019,1,1,0,1,0,1,0,1
Kohima,Cyclone/Windstorm,2018 - 2019,1,1,0,1,0,1,0,1
Kohima,Drought,2018 - 2019,1,1,0,1,0,1,0,1
Kohima,Earthquake,2018 - 2019,0,0,0,0,0,0,0,0
Kohima,Fire,2018 - 2019,7,7,0,7,0,7,0,7
Kohima,Flood/Flash Flood,2018 - 2019,14,73,14,87,1,73,14,87
Kohima,Frost/Coldwave,2018 - 2019,0,0,0,0,0,0,0,0
Kohima,Hailstorm,2018 - 2019,0,0,0,0,0,0,0,0
Kohima,Landslide,2018 - 2019,28,708,129,837,0,708,129,837
Kohima,Pest attack,2018 - 2019,1,1,0,1,0,1,0,1
Kohima,Soil Erosion,2018 - 2019,0,0,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
